pert_id,pert_iname,n_sig,n_cell,senmayo_mean_z,sign_consistency,z_vs_null,reversal_score,p_perm,fdr,moa,target,clinical_phase,rank,percentile
BRD-K79102359,idalopirdine,42,7,-0.0185152,0.7142857142857143,0.03098843,-0.03098843,0.974512743628186,0.9896603693575899,serotonin receptor antagonist,HTR6,Phase 3,9523,55.2889807033194
BRD-K57822472,BRD-K57822472,5,5,0.014566612,0.6,0.031085346,-0.031085346,0.9750124937531235,0.9896959969712518,,,,9524,55.28428564721348
BRD-K76612659,BRD-K76612659,3,3,-0.017063525,0.6666666666666666,0.031158647,-0.031158647,0.9750124937531235,0.9896959969712518,,,,9525,55.279590591107564
BRD-K58663279,BRD-K58663279,4,3,0.06494774,0.6666666666666666,0.031292636,-0.031292636,0.9705147426286856,0.9879555275652809,,,,9526,55.27489553500165
BRD-K68078697,BRD-K68078697,5,5,-0.0028768557,0.6,0.03158678,-0.03158678,0.9700149925037481,0.9875411942707009,,,,9527,55.270200478895724
BRD-K03416270,BRD-K03416270,5,4,-0.042356297,0.75,0.031856406,-0.031856406,0.967016491754123,0.9867524676793497,,,,9528,55.26550542278981
BRD-K06688693,BRD-K06688693,4,3,0.07372952,0.6666666666666666,0.031979796,-0.031979796,0.9810094952523738,0.9920011982804116,,,,9529,55.260810366683884
BRD-K43263266,BRD-K43263266,5,5,-0.06712717,0.6,0.032393277,-0.032393277,0.9790104947526237,0.9915804140822737,,,,9530,55.25611531057797
BRD-K55677650,CO-101244,15,8,-0.054117575,0.5,0.03243382,-0.03243382,0.975512243878061,0.9898730482305299,glutamate receptor antagonist,GRIN2B,Preclinical,9531,55.25142025447204
BRD-K53642448,BRD-K53642448,4,2,-0.053188026,0.5,0.0326274,-0.0326274,0.9690154922538731,0.9872786878505259,,,,9532,55.24672519836612
BRD-K63892915,BRD-K63892915,2,2,-0.012512969,0.5,0.032851897,-0.032851897,0.9735132433783108,0.9894473454244437,,,,9533,55.2420301422602
BRD-K70778732,trazodone,79,15,-0.0135672325,0.5333333333333333,0.03297446,-0.03297446,0.9765117441279361,0.9903682509490457,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4,Launched,9534,55.23733508615428
BRD-K60050469,BRD-K60050469,2,1,0.07389179,,0.03300991,-0.03300991,0.974512743628186,0.9896603693575899,,,,9535,55.23264003004835
BRD-K59488055,BRD-K59488055,17,13,0.03964862,0.5384615384615384,0.033019483,-0.033019483,0.9725137431284357,0.9888561710456176,,,,9536,55.227944973942435
BRD-K14169964,BRD-K14169964,5,5,0.0034404292,0.6,0.033085912,-0.033085912,0.9710144927536232,0.9880392547849904,,,,9537,55.22324991783651
BRD-K94288301,letermovir,42,7,-0.021572419,0.7142857142857143,0.033192575,-0.033192575,0.9750124937531235,0.9896959969712518,CMV terminase inhibitor,,Launched,9538,55.218554861730595
BRD-K43149758,myricetin,35,8,-0.0064888727,0.625,0.0334914,-0.0334914,0.9715142428785607,0.988217291134747,androgen receptor agonist|cytochrome P450 inhibitor,PIK3CG,Preclinical,9539,55.21385980562468
BRD-K54375254,BRD-K54375254,4,3,0.037049092,0.6666666666666666,0.033893418,-0.033893418,0.9625187406296851,0.9851836540281447,,,,9540,55.209164749518756
BRD-K45878950,YL-53,11,8,0.07354992,0.75,0.033996467,-0.033996467,0.9750124937531235,0.9896959969712518,,,,9541,55.20446969341284
BRD-K16118047,SA-427543,25,10,0.064778425,0.6,0.03439986,-0.03439986,0.9715142428785607,0.988217291134747,,,,9542,55.199774637306916
BRD-K48199208,BRD-K48199208,15,8,-0.0013141982,0.625,0.03445047,-0.03445047,0.968015992003998,0.987204817509847,,,,9543,55.195079581201
BRD-K84145110,BRD-K84145110,3,3,0.015555467,0.6666666666666666,0.034454193,-0.034454193,0.9775112443778111,0.99086293518004,,,,9544,55.190384525095084
BRD-K80150641,BRD-K80150641,3,3,0.062411956,0.6666666666666666,0.034502666,-0.034502666,0.9765117441279361,0.9903682509490457,,,,9545,55.18568946898915
BRD-K39658422,BRD-K39658422,7,4,0.0859665,0.75,0.034760576,-0.034760576,0.9645177411294353,0.9861397546234565,,,,9546,55.18099441288323
BRD-K38760240,BRD-K38760240,8,1,0.059910804,,0.035636563,-0.035636563,0.9685157421289355,0.9872786878505259,,,,9547,55.176299356777314
BRD-K81860076,BRD-K81860076,5,5,-0.041890293,0.8,0.035678945,-0.035678945,0.9770114942528736,0.9906392371747098,,,,9548,55.1716043006714
BRD-A99833829,bethanechol,15,8,0.03327856,0.625,0.035693966,-0.035693966,0.9700149925037481,0.9875411942707009,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,Launched,9549,55.16690924456547
BRD-M72442222,vicriviroc,17,14,0.06745221,0.5714285714285714,0.03585788,-0.03585788,0.974512743628186,0.9896603693575899,CC chemokine receptor antagonist,CCR5,Phase 3,9550,55.162214188459544
BRD-K20714604,RS-56812,19,13,0.05804325,0.6923076923076923,0.03596501,-0.03596501,0.9750124937531235,0.9896959969712518,serotonin receptor partial agonist,HTR3A,Preclinical,9551,55.15751913235363
BRD-M88324697,BRD-M88324697,2,1,-0.07554866,,0.0363642,-0.0363642,0.974512743628186,0.9896603693575899,,,,9552,55.15282407624771
BRD-K32301393,BRD-K32301393,10,7,0.004811601,0.7142857142857143,0.036542494,-0.036542494,0.9715142428785607,0.988217291134747,,,,9553,55.14812902014179
BRD-K27837783,BRD-K27837783,3,3,0.015073315,0.6666666666666666,0.03666219,-0.03666219,0.9735132433783108,0.9894473454244437,,,,9554,55.14343396403587
BRD-K70210716,BRD-K70210716,5,5,-0.0974216,1.0,0.03689399,-0.03689399,0.9785107446276862,0.991404259814722,,,,9555,55.13873890792995
BRD-K33968993,BRD-K33968993,1,1,-0.016927538,,0.037077602,-0.037077602,0.9710144927536232,0.9880392547849904,,,,9556,55.13404385182403
BRD-K22630935,BRD-K22630935,18,14,-0.044087186,0.6428571428571429,0.037284166,-0.037284166,0.9675162418790605,0.9870732593659103,,,,9557,55.129348795718116
BRD-K87070823,acetamide,3,1,-0.004685425,,0.037466206,-0.037466206,0.9695152423788106,0.9875044305593367,,,,9558,55.12465373961219
BRD-K93720819,BRD-K93720819,4,3,-0.0032522434,0.6666666666666666,0.037889756,-0.037889756,0.9690154922538731,0.9872786878505259,,,,9559,55.119958683506276
BRD-K10860596,granisetron,13,9,0.10769884,0.6666666666666666,0.038004227,-0.038004227,0.9725137431284357,0.9888561710456176,serotonin receptor antagonist,HTR3A,Launched,9560,55.115263627400346
BRD-K74894470,BRD-K74894470,7,6,0.034563918,0.8333333333333334,0.038122535,-0.038122535,0.9750124937531235,0.9896959969712518,,,,9561,55.11056857129443
BRD-K99763083,BRD-K99763083,2,1,0.084755845,,0.038262006,-0.038262006,0.967016491754123,0.9867524676793497,,,,9562,55.105873515188506
BRD-K64788035,BRD-K64788035,1,1,0.053533845,,0.038299218,-0.038299218,0.9660169915042479,0.986620660434221,,,,9563,55.101178459082576
BRD-K56775501,BRD-K56775501,5,5,-0.0054679476,0.6,0.038464297,-0.038464297,0.9685157421289355,0.9872786878505259,,,,9564,55.09648340297666
BRD-K44575839,BRD-K44575839,7,6,-0.043373276,0.6666666666666666,0.03878704,-0.03878704,0.9685157421289355,0.9872786878505259,,,,9565,55.09178834687074
BRD-K18542345,BRD-K18542345,14,8,-0.06374936,0.75,0.038817137,-0.038817137,0.9695152423788106,0.9875044305593367,,,,9566,55.08709329076482
BRD-K60751982,BRD-K60751982,4,2,-0.010200535,0.5,0.038866285,-0.038866285,0.9590204897551224,0.9835409000045432,,,,9567,55.0823982346589
BRD-K78603235,BRD-K78603235,2,1,0.10440069,,0.039052516,-0.039052516,0.9700149925037481,0.9875411942707009,,,,9568,55.07770317855298
BRD-K62586643,JAS07-001,15,8,-0.084344804,0.875,0.039398775,-0.039398775,0.9750124937531235,0.9896959969712518,,,,9569,55.073008122447064
BRD-K73517214,BRD-K73517214,2,1,0.11216893,,0.039407652,-0.039407652,0.9705147426286856,0.9879555275652809,,,,9570,55.06831306634115
BRD-K07448100,BRD-K07448100,5,5,-0.0027695813,0.8,0.04023638,-0.04023638,0.9635182408795602,0.9855909620830732,,,,9571,55.063618010235224
BRD-K37650321,BRD-K37650321,12,7,-0.0231792,0.7142857142857143,0.040396877,-0.040396877,0.974512743628186,0.9896603693575899,,,,9572,55.05892295412931
BRD-K13234528,BRD-K13234528,5,5,0.020531641,0.6,0.04065863,-0.04065863,0.9700149925037481,0.9875411942707009,,,,9573,55.05422789802339
