pert_id,pert_iname,is_positive_control,canonical_smiles,senmayo_mean_z,reversal_score,gps_discrete_score,gps_continuous_score
BRD-K34038660,BRD-K34038660,False,CCCNC(=O)C[C@@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)c4ccc5OCOc5c4)cc3C(=O)N2C)O1,-0.0014464598,-0.8724478,-0.0,-0.052530307
BRD-K20914452,BRD-K20914452,False,CO[C@@H](C(=O)N(C)C[C@@H]1OCc2ccccc2-c3ccccc3C(=O)N(C[C@@H]1C)[C@@H](C)CO)c4ccccc4,-0.10260754,0.1159944,-0.0,-0.22687615
BRD-K46373821,BRD-K46373821,False,COc1cccc(CNC(=O)C[C@H]2CC[C@H]3[C@H](COc4ccc(NC(=O)c5cccs5)cc4C(=O)N3C)O2)c1,0.05463907,-0.89144677,-0.0,-0.26766583
BRD-K67718916,BRD-K67718916,False,CO[C@H]1CN(C)C(=O)c2cc(NS(=O)(=O)c3ccccc3OC)ccc2OC[C@@H](C)NC[C@H]1C,0.16700795,-1.3159957,-0.0,-0.16953978
BRD-K76390333,BRD-K76390333,False,N#Cc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3ccccc3)C[C@@H]1N2,-0.008863369,-0.5405023,-0.0,-0.022785386
BRD-K41958183,BRD-K41958183,False,C\C=C\c1ccc2N[C@@H](CO)[C@H]3CCN([C@H]3c2c1)S(=O)(=O)c1ccc(C)cc1,-0.11166001,1.5927513,-0.0,-0.043142695
BRD-K27711805,BRD-K27711805,False,COc1ccc2c3c([C@H](CO)NC[C@]33CN(Cc4ccc(cc4)-c4ccccn4)C3)n(C)c2c1,-0.04755998,1.3980827,-0.024390243902439025,-0.37008616
BRD-K42790191,BRD-K42790191,False,COc1ccc2c3c([C@H](CO)N(C[C@]33CN(CC4CCCCC4)C3)C(=O)Cc3ccccn3)n(C)c2c1,0.009139745,0.27892485,-0.008130081300813009,-0.56589407
BRD-K55808012,BRD-K55808012,False,CN(C)C(=O)c1cc2CN([C@H](CCO)c2c(n1)-c1cccc(c1)C1=CCCC1)[S@](=O)C(C)(C)C,-0.01170472,0.43814555,-0.0,-0.004813501
BRD-K56583519,BRD-K56583519,False,CC(C)(C)[S@](=O)N1Cc2cc(nc(c2[C@@H]1CCO)-c1cccc(c1)-c1ccc(cc1)C#N)C(=O)NCc1ccncc1,0.14512405,-0.7321914,-0.0,0.010396045
